date_key,commodity_key,price,price_yoy_pct,price_12m_avg
1960-01-01,3,0.634,,
1960-02-01,3,0.608,,
1960-03-01,3,0.5789,,0.607
1960-04-01,3,0.5983,,0.6048
1960-05-01,3,0.6001,,0.6039
1960-06-01,3,0.5944,,0.6023
1960-07-01,3,0.6045,,0.6026
1960-08-01,3,0.5882,,0.6008
1960-09-01,3,0.5827,,0.5988
1960-10-01,3,0.5858,,0.5975
1960-11-01,3,0.5695,,0.5949
1960-12-01,3,0.5238,,0.589
1961-01-01,3,0.485,-23.5,0.5766
1961-02-01,3,0.4881,-19.72,0.5666
1961-03-01,3,0.4581,-20.87,0.5565
1961-04-01,3,0.4354,-27.23,0.543
1961-05-01,3,0.4848,-19.21,0.5334
1961-06-01,3,0.4907,-17.45,0.5247
1961-07-01,3,0.4753,-21.37,0.514
1961-08-01,3,0.4795,-18.48,0.5049
1961-09-01,3,0.465,-20.2,0.4951
1961-10-01,3,0.4603,-21.42,0.4846
1961-11-01,3,0.4808,-15.58,0.4772
1961-12-01,3,0.5397,3.04,0.4786
1962-01-01,3,0.4588,-5.4,0.4764
1962-02-01,3,0.4945,1.31,0.4769
1962-03-01,3,0.4414,-3.65,0.4755
1962-04-01,3,0.4647,6.73,0.478
1962-05-01,3,0.4654,-4.0,0.4763
1962-06-01,3,0.4729,-3.63,0.4749
1962-07-01,3,0.461,-3.01,0.4737
1962-08-01,3,0.4588,-4.32,0.4719
1962-09-01,3,0.45,-3.23,0.4707
1962-10-01,3,0.4365,-5.17,0.4687
1962-11-01,3,0.4383,-8.84,0.4652
1962-12-01,3,0.4533,-16.01,0.458
1963-01-01,3,0.4991,8.78,0.4613
1963-02-01,3,0.5439,9.99,0.4654
1963-03-01,3,0.5318,20.48,0.473
1963-04-01,3,0.5631,21.17,0.4812
1963-05-01,3,0.6076,30.55,0.493
1963-06-01,3,0.5622,18.88,0.5005
1963-07-01,3,0.5249,13.86,0.5058
1963-08-01,3,0.521,13.56,0.511
1963-09-01,3,0.5509,22.42,0.5194
1963-10-01,3,0.5807,33.04,0.5314
1963-11-01,3,0.5706,30.18,0.5424
1963-12-01,3,0.5723,26.25,0.5523
1964-01-01,3,0.5549,11.18,0.557
1964-02-01,3,0.5077,-6.66,0.554
1964-03-01,3,0.5084,-4.4,0.552
1964-04-01,3,0.4784,-15.04,0.545
1964-05-01,3,0.4766,-21.56,0.534
1964-06-01,3,0.4954,-11.88,0.5285
1964-07-01,3,0.5077,-3.28,0.527
1964-08-01,3,0.4985,-4.32,0.5252
1964-09-01,3,0.5104,-7.35,0.5218
1964-10-01,3,0.509,-12.35,0.5158
1964-11-01,3,0.5201,-8.85,0.5116
1964-12-01,3,0.5018,-12.32,0.5057
1965-01-01,3,0.47,-15.3,0.4987
1965-02-01,3,0.4191,-17.45,0.4913
1965-03-01,3,0.353,-30.57,0.4783
1965-04-01,3,0.3457,-27.74,0.4673
1965-05-01,3,0.3276,-31.26,0.4549
1965-06-01,3,0.2906,-41.34,0.4378
1965-07-01,3,0.259,-48.99,0.4171
1965-08-01,3,0.3258,-34.64,0.4027
1965-09-01,3,0.3649,-28.51,0.3906
1965-10-01,3,0.3706,-27.19,0.379
1965-11-01,3,0.3986,-23.36,0.3689
1965-12-01,3,0.4588,-8.57,0.3653
1966-01-01,3,0.4731,0.66,0.3656
